,Label,Correlation Coefficient
0,CG_L_7_1,0.7625729455170528
1,CG_R_7_1,0.9213987740996951
2,CG_L_7_2,0.8920405535536251
3,CG_R_7_2,0.8771081059297439
4,CG_L_7_3,0.8671863489404217
5,CG_R_7_3,0.9489500246946053
6,CG_L_7_4,0.8370193420761681
7,CG_R_7_4,0.8885828029369637
8,CG_L_7_5,0.8730903764845256
9,CG_R_7_5,0.8901004876521098
10,CG_L_7_6,0.8177571443282565
11,CG_R_7_6,0.8386556812272177
12,CG_L_7_7,0.8546329890110289
13,CG_R_7_7,0.7969830082335019
14,Tha_L,0.8589349547797746
15,Hipp_L,0.8212843980440421
16,Amyg_L,0.8348707541704694
17,Accum_L,0.7914347819358807
18,Tha_R,0.9137647905819518
19,Hipp_R,0.842819823889099
20,Amyg_R,0.944692519071828
21,Accum_R,0.8464510158323059
