roi,statistic,p_value
CG_L_7_1,1.2380952380952093,0.5384570096736859
CG_R_7_1,1.230769230769228,0.5404329964865349
CG_L_7_2,0.34782608695650197,0.8403699701309062
CG_R_7_2,1.0909090909090884,0.5795782787848103
CG_L_7_3,4.526315789473702,0.10402147666803668
CG_R_7_3,2.173913043478251,0.33724132002352547
CG_L_7_4,1.826086956521749,0.4013010126611172
CG_R_7_4,2.263736263736279,0.3224303510301907
CG_L_7_5,0.8888888888888384,0.6411803884299707
CG_R_7_5,0.7826086956521863,0.6761743325317434
CG_L_7_6,1.3411764705882514,0.511407661254321
CG_R_7_6,0.8571428571428372,0.6514390575310622
CG_L_7_7,9.074626865671593,0.01070211993003683
CG_R_7_7,0.4137931034482523,0.8131037598190474
Tha_L,0.06976744186043074,0.9657177024852904
Hipp_L,0.8378378378378255,0.6577575247969836
Amyg_L,0.25806451612901754,0.8789456120040188
Accum_L,0.34782608695650197,0.8403699701309062
Tha_R,3.2173913043478137,0.20014850716070218
Hipp_R,2.000000000000177,0.3678794411714098
Amyg_R,2.00000000000026,0.3678794411713946
