roi,statistic,p_value
CG_L_7_1,1.1071428571428248,0.5748929504937939
CG_R_7_1,0.09090909090907025,0.9555630362682941
CG_L_7_2,1.3333333333333144,0.5134171190325971
CG_R_7_2,0.5060240963855421,0.7764585268453725
CG_L_7_3,4.268292682926807,0.11834557397724062
CG_R_7_3,0.25,0.8824969025845955
CG_L_7_4,2.5833333333333144,0.27481238055949236
CG_R_7_4,0.5833333333333144,0.7470175003104397
CG_L_7_5,0.8115942028985244,0.6664453745083956
CG_R_7_5,6.583333333333314,0.03719181135994668
CG_L_7_6,0.4666666666666667,0.7918895663367818
CG_R_7_6,3.0833333333333144,0.2140240971774495
CG_L_7_7,2.8510638297871953,0.24038056719263862
CG_R_7_7,1.2835820895522114,0.5263488649320268
Tha_L,2.044943820224699,0.35970468266558464
Hipp_L,1.5294117647058558,0.465470814024068
Amyg_L,3.5714285714285716,0.16767724875179704
Accum_L,2.5833333333333144,0.27481238055949236
Tha_R,3.0833333333333144,0.2140240971774495
Hipp_R,2.0,0.36787944117144245
Amyg_R,7.0,0.0301973834223185
