roi,statistic,p_value
CG_L_7_1,0.34782608695650197,0.8403699701309062
CG_R_7_1,1.652173913043498,0.4377589088697885
CG_L_7_2,4.521739130434753,0.10425978464335212
CG_R_7_2,1.652173913043498,0.4377589088697885
CG_L_7_3,1.652173913043498,0.4377589088697885
CG_R_7_3,2.4347826086956275,0.296001338014862
CG_L_7_4,2.173913043478251,0.33724132002352547
CG_R_7_4,8.434782608695627,0.014737038852725134
CG_L_7_5,0.6086956521738784,0.7376042638218393
CG_R_7_5,1.652173913043498,0.4377589088697885
CG_L_7_6,1.1304347826086882,0.5682366036329867
CG_R_7_6,3.2173913043478137,0.20014850716070218
CG_L_7_7,1.826086956521749,0.4013010126611172
CG_R_7_7,0.6086956521738784,0.7376042638218393
Tha_L,1.652173913043498,0.4377589088697885
Hipp_L,1.652173913043498,0.4377589088697885
Amyg_L,1.826086956521749,0.4013010126611172
Accum_L,2.695652173913061,0.25980443944554016
Tha_R,3.3913043478260647,0.18347952943681112
Hipp_R,3.2173913043478137,0.20014850716070218
Amyg_R,0.7826086956521863,0.6761743325317434
Accum_R,1.3913043478260647,0.49874907076230013
