roi,statistic,p_value
CG_L_7_1,1.0,0.6065306597126334
CG_R_7_1,1.0833333333333144,0.5817778142098137
CG_L_7_2,1.0833333333333144,0.5817778142098137
CG_R_7_2,0.08333333333331439,0.9591894571091473
CG_L_7_3,1.0,0.6065306597126334
CG_R_7_3,0.5833333333333144,0.7470175003104397
CG_L_7_4,0.25,0.8824969025845955
CG_R_7_4,0.5833333333333144,0.7470175003104397
CG_L_7_5,0.08333333333331439,0.9591894571091473
CG_R_7_5,0.08333333333331439,0.9591894571091473
CG_L_7_6,0.3333333333333144,0.8464817248906221
CG_R_7_6,5.083333333333314,0.0787350652668626
CG_L_7_7,1.0,0.6065306597126334
CG_R_7_7,0.08333333333331439,0.9591894571091473
Tha_L,0.25,0.8824969025845955
Hipp_L,1.75,0.41686201967850856
Amyg_L,1.5833333333333144,0.45308901728017326
Accum_L,0.5833333333333144,0.7470175003104397
Tha_R,0.5833333333333144,0.7470175003104397
Hipp_R,2.5833333333333144,0.27481238055949236
Amyg_R,3.5833333333333144,0.1666821344779481
