roi,statistic,p_value
CG_L_7_1,3.2173913043478137,0.20014850716070218
CG_R_7_1,1.1304347826086882,0.5682366036329867
CG_L_7_2,1.826086956521749,0.4013010126611172
CG_R_7_2,0.34782608695650197,0.8403699701309062
CG_L_7_3,8.086956521739125,0.017536370142342807
CG_R_7_3,1.1304347826086882,0.5682366036329867
CG_L_7_4,0.34782608695650197,0.8403699701309062
CG_R_7_4,0.6086956521738784,0.7376042638218393
CG_L_7_5,0.6086956521738784,0.7376042638218393
CG_R_7_5,1.652173913043498,0.4377589088697885
CG_L_7_6,1.652173913043498,0.4377589088697885
CG_R_7_6,0.34782608695650197,0.8403699701309062
CG_L_7_7,5.826086956521749,0.05431018621163179
CG_R_7_7,0.6086956521738784,0.7376042638218393
Tha_L,1.1304347826086882,0.5682366036329867
Hipp_L,1.1304347826086882,0.5682366036329867
Amyg_L,0.08695652173912549,0.9574533680683832
Accum_L,4.2608695652173765,0.11878563669440972
Tha_R,1.1304347826086882,0.5682366036329867
Hipp_R,4.956521739130437,0.08388899270179818
Amyg_R,3.3913043478260647,0.18347952943681112
