roi,statistic,p_value
0,0.25,0.8824969025845955
1,0.3333333333333144,0.8464817248906221
2,1.3333333333333144,0.5134171190325971
3,0.25,0.8824969025845955
4,4.333333333333314,0.11455884399268881
5,1.0,0.6065306597126334
6,0.08333333333331439,0.9591894571091473
7,0.25,0.8824969025845955
8,2.5833333333333144,0.27481238055949236
9,0.08333333333331439,0.9591894571091473
10,1.0833333333333144,0.5817778142098137
11,1.75,0.41686201967850856
12,1.0833333333333144,0.5817778142098137
13,1.75,0.41686201967850856
14,2.25,0.3246524673583498
15,0.25,0.8824969025845955
16,0.08333333333331439,0.9591894571091473
17,2.25,0.3246524673583498
18,4.083333333333314,0.1298121768554392
19,1.0,0.6065306597126334
20,1.5833333333333144,0.45308901728017326
21,0.08333333333331439,0.9591894571091473
22,0.08333333333331439,0.9591894571091473
23,0.75,0.6872892787909721
24,1.75,0.41686201967850856
25,0.5833333333333144,0.7470175003104397
26,2.0833333333333144,0.3528660814588523
27,0.25,0.8824969025845955
28,1.3333333333333144,0.5134171190325971
29,5.333333333333314,0.06948345122280218
30,1.75,0.41686201967850856
31,3.5833333333333144,0.1666821344779481
32,0.08333333333331439,0.9591894571091473
33,1.3333333333333144,0.5134171190325971
34,0.25,0.8824969025845955
35,1.5833333333333144,0.45308901728017326
36,0.25,0.8824969025845955
37,0.25,0.8824969025845955
38,1.75,0.41686201967850856
39,1.0833333333333144,0.5817778142098137
40,0.75,0.6872892787909721
41,0.08333333333331439,0.9591894571091473
42,1.5833333333333144,0.45308901728017326
43,1.0833333333333144,0.5817778142098137
44,0.75,0.6872892787909721
45,1.0833333333333144,0.5817778142098137
46,1.0,0.6065306597126334
47,4.75,0.09301448921066348
48,0.5833333333333144,0.7470175003104397
49,1.0833333333333144,0.5817778142098137
50,0.5833333333333144,0.7470175003104397
51,0.3333333333333144,0.8464817248906221
52,0.75,0.6872892787909721
53,1.0833333333333144,0.5817778142098137
54,0.5833333333333144,0.7470175003104397
55,3.0,0.22313016014842982
56,1.5833333333333144,0.45308901728017326
57,0.25,0.8824969025845955
58,1.0,0.6065306597126334
59,0.25,0.8824969025845955
60,0.5833333333333144,0.7470175003104397
61,0.08333333333331439,0.9591894571091473
62,1.0833333333333144,0.5817778142098137
63,2.25,0.3246524673583498
64,2.0833333333333144,0.3528660814588523
65,0.0,1.0
66,1.75,0.41686201967850856
67,0.08333333333331439,0.9591894571091473
68,4.083333333333314,0.1298121768554392
69,1.0833333333333144,0.5817778142098137
70,0.3333333333333144,0.8464817248906221
71,1.5833333333333144,0.45308901728017326
72,2.5833333333333144,0.27481238055949236
73,2.3333333333333144,0.3114032239146006
74,0.3333333333333144,0.8464817248906221
75,1.0,0.6065306597126334
76,0.5833333333333144,0.7470175003104397
77,3.0833333333333144,0.2140240971774495
78,0.08333333333331439,0.9591894571091473
79,1.75,0.41686201967850856
80,0.5833333333333144,0.7470175003104397
81,1.5833333333333144,0.45308901728017326
82,3.25,0.19691167520419406
83,5.583333333333314,0.06131893048501075
84,0.75,0.6872892787909721
85,5.333333333333314,0.06948345122280218
86,0.3333333333333144,0.8464817248906221
87,3.0833333333333144,0.2140240971774495
88,1.75,0.41686201967850856
89,4.083333333333314,0.1298121768554392
90,0.5833333333333144,0.7470175003104397
91,0.75,0.6872892787909721
92,1.0833333333333144,0.5817778142098137
93,0.25,0.8824969025845955
94,0.3333333333333144,0.8464817248906221
95,1.75,0.41686201967850856
96,0.3333333333333144,0.8464817248906221
97,5.583333333333314,0.06131893048501075
98,1.0833333333333144,0.5817778142098137
99,5.083333333333314,0.0787350652668626
100,1.3333333333333144,0.5134171190325971
101,5.583333333333314,0.06131893048501075
102,1.3333333333333144,0.5134171190325971
103,2.25,0.3246524673583498
104,1.0833333333333144,0.5817778142098137
105,1.0833333333333144,0.5817778142098137
106,0.08333333333331439,0.9591894571091473
107,0.5833333333333144,0.7470175003104397
108,4.0,0.1353352832366127
109,0.25,0.8824969025845955
110,2.0833333333333144,0.3528660814588523
111,1.0833333333333144,0.5817778142098137
112,0.25,0.8824969025845955
113,3.25,0.19691167520419406
114,0.08333333333331439,0.9591894571091473
115,,
116,,
117,,
118,3.0,0.22313016014842982
119,3.5833333333333144,0.1666821344779481
120,2.3333333333333144,0.3114032239146006
121,0.08333333333331439,0.9591894571091473
122,0.5833333333333144,0.7470175003104397
123,1.0,0.6065306597126334
124,3.25,0.19691167520419406
125,1.3333333333333144,0.5134171190325971
126,0.25,0.8824969025845955
127,0.5833333333333144,0.7470175003104397
128,1.0,0.6065306597126334
129,0.3333333333333144,0.8464817248906221
130,4.083333333333314,0.1298121768554392
131,0.3333333333333144,0.8464817248906221
132,0.08333333333331439,0.9591894571091473
133,2.3333333333333144,0.3114032239146006
134,0.08333333333331439,0.9591894571091473
135,3.0833333333333144,0.2140240971774495
136,0.25,0.8824969025845955
137,0.25,0.8824969025845955
138,0.75,0.6872892787909721
139,0.08333333333331439,0.9591894571091473
140,0.08333333333331439,0.9591894571091473
141,2.5833333333333144,0.27481238055949236
142,2.5833333333333144,0.27481238055949236
143,0.5833333333333144,0.7470175003104397
144,0.08333333333331439,0.9591894571091473
145,1.0,0.6065306597126334
146,0.25,0.8824969025845955
147,0.5833333333333144,0.7470175003104397
148,0.3333333333333144,0.8464817248906221
149,2.3333333333333144,0.3114032239146006
150,0.75,0.6872892787909721
151,4.083333333333314,0.1298121768554392
152,1.0833333333333144,0.5817778142098137
153,0.08333333333331439,0.9591894571091473
154,2.25,0.3246524673583498
155,2.5833333333333144,0.27481238055949236
156,0.3333333333333144,0.8464817248906221
157,0.25,0.8824969025845955
158,0.25,0.8824969025845955
159,0.75,0.6872892787909721
160,0.5833333333333144,0.7470175003104397
161,0.0,1.0
162,1.0833333333333144,0.5817778142098137
163,0.5833333333333144,0.7470175003104397
164,2.5833333333333144,0.27481238055949236
165,0.5833333333333144,0.7470175003104397
166,1.0833333333333144,0.5817778142098137
167,1.75,0.41686201967850856
168,0.5833333333333144,0.7470175003104397
169,0.5833333333333144,0.7470175003104397
170,0.3333333333333144,0.8464817248906221
171,2.0833333333333144,0.3528660814588523
172,1.3333333333333144,0.5134171190325971
173,4.083333333333314,0.1298121768554392
174,0.5833333333333144,0.7470175003104397
175,1.0,0.6065306597126334
176,1.0833333333333144,0.5817778142098137
177,1.0833333333333144,0.5817778142098137
178,0.08333333333331439,0.9591894571091473
179,1.0,0.6065306597126334
180,0.5833333333333144,0.7470175003104397
181,0.25,0.8824969025845955
182,0.5833333333333144,0.7470175003104397
183,0.08333333333331439,0.9591894571091473
184,0.08333333333331439,0.9591894571091473
185,0.3333333333333144,0.8464817248906221
186,5.083333333333314,0.0787350652668626
187,1.0,0.6065306597126334
188,0.08333333333331439,0.9591894571091473
189,0.0,1.0
190,0.75,0.6872892787909721
191,2.0833333333333144,0.3528660814588523
192,0.08333333333331439,0.9591894571091473
193,2.0833333333333144,0.3528660814588523
194,0.25,0.8824969025845955
195,0.3333333333333144,0.8464817248906221
196,1.0833333333333144,0.5817778142098137
197,0.5833333333333144,0.7470175003104397
198,0.5833333333333144,0.7470175003104397
199,0.75,0.6872892787909721
200,2.3333333333333144,0.3114032239146006
201,6.583333333333314,0.03719181135994668
202,0.25,0.8824969025845955
203,0.25,0.8824969025845955
204,0.08333333333331439,0.9591894571091473
205,1.0,0.6065306597126334
206,0.3333333333333144,0.8464817248906221
207,0.3333333333333144,0.8464817248906221
208,1.75,0.41686201967850856
209,1.0,0.6065306597126334
210,0.25,0.8824969025845955
211,0.25,0.8824969025845955
212,1.0,0.6065306597126334
213,2.3333333333333144,0.3114032239146006
214,1.0,0.6065306597126334
215,0.25,0.8824969025845955
216,1.75,0.41686201967850856
217,1.5833333333333144,0.45308901728017326
218,0.5833333333333144,0.7470175003104397
219,0.5833333333333144,0.7470175003104397
220,0.5833333333333144,0.7470175003104397
221,0.25,0.8824969025845955
222,2.5833333333333144,0.27481238055949236
223,2.5833333333333144,0.27481238055949236
224,3.5833333333333144,0.1666821344779481
