,Label,Correlation Coefficient
0,CG_L_7_1,0.8619340397521441
1,CG_R_7_1,0.8779519309037347
2,CG_L_7_2,0.823867516480295
3,CG_R_7_2,0.8364937968093265
4,CG_L_7_3,0.8571886187429789
5,CG_R_7_3,0.7737787258143451
6,CG_L_7_4,0.7602662722911893
7,CG_R_7_4,0.8775913260534608
8,CG_L_7_5,0.8964767899026891
9,CG_R_7_5,0.7527314990921442
10,CG_L_7_6,0.8458374914302007
11,CG_R_7_6,0.9181305609766218
12,CG_L_7_7,0.930659217337023
13,CG_R_7_7,0.8316303610734688
14,Tha_L,0.8363857645263837
15,Hipp_L,0.7633220881507502
16,Amyg_L,0.7772226737454921
17,Accum_L,0.772408840827411
18,Tha_R,0.8386333752386044
19,Hipp_R,0.8734392922207486
20,Amyg_R,0.6737601189023575
21,Accum_R,0.2902577230569442
