,Label,Correlation Coefficient
0,CG_L_7_1,0.7388616848971645
1,CG_R_7_1,0.8221065680356406
2,CG_L_7_2,0.8933761667475557
3,CG_R_7_2,0.7286075782811936
4,CG_L_7_3,0.8814468769427936
5,CG_R_7_3,0.8390637355290248
6,CG_L_7_4,0.8070011827337673
7,CG_R_7_4,0.8354316153970399
8,CG_L_7_5,0.7923822974914569
9,CG_R_7_5,0.873174115474909
10,CG_L_7_6,0.7875567968720966
11,CG_R_7_6,0.852725971869897
12,CG_L_7_7,0.7721702965238851
13,CG_R_7_7,0.8724293666782996
14,Tha_L,0.764518817562947
15,Hipp_L,0.7589256868562697
16,Amyg_L,0.6788286762245516
17,Accum_L,0.7273979024794547
18,Tha_R,0.7902698638359182
19,Hipp_R,0.7894266541629382
20,Amyg_R,0.5617188011362206
21,Accum_R,0.7606483148890858
