subject,,visit,metric
sub-pl007,0,1,0.6079434500079423
sub-pl010,0,1,0.5882407691393099
sub-pl012,0,1,0.6052804804518082
sub-pl013,0,1,0.5630045784882073
sub-pl014,0,1,0.5646665152100181
sub-pl017,0,1,0.5895490328346571
sub-pl019,0,1,0.5978696788888404
sub-pl027,0,1,0.5673899097265169
sub-pl030,0,1,0.5764012430447177
sub-pl031,0,1,0.5895904667912422
sub-pl032,0,1,0.5882420883383912
sub-pl034,0,1,0.5540822769681378
sub-pl035,0,1,0.5818382565098313
sub-pl036,0,1,0.5677627286070765
sub-pl038,0,1,0.5733384866851663
sub-pl042,0,1,0.5808787868488057
sub-pl047,0,1,0.5575796501097128
sub-pl049,0,1,0.5852137689758503
sub-pl050,0,1,0.5843028816255983
sub-pl055,0,1,0.5962944240827753
sub-pl056,0,1,0.5764130366488917
sub-pl063,0,1,0.5692262689841558
sub-pl064,0,1,0.5728382599771694
sub-pl007,0,2,0.5988848808806647
sub-pl010,0,2,0.5883399398807665
sub-pl012,0,2,0.6050220377910083
sub-pl013,0,2,0.5653613703474358
sub-pl014,0,2,0.5581087373001805
sub-pl017,0,2,0.5827029328224758
sub-pl019,0,2,0.5935937111187405
sub-pl027,0,2,0.566130869011484
sub-pl030,0,2,0.5803225186239194
sub-pl031,0,2,0.5839095439384806
sub-pl032,0,2,0.5910138139117304
sub-pl034,0,2,0.5540246100228813
sub-pl035,0,2,0.5910593025074712
sub-pl036,0,2,0.5670133861867223
sub-pl038,0,2,0.5836550158210264
sub-pl042,0,2,0.5771085905679585
sub-pl047,0,2,0.5459710750620107
sub-pl049,0,2,0.5584514856417231
sub-pl050,0,2,0.5671894108984477
sub-pl055,0,2,0.596748246363996
sub-pl056,0,2,0.5780630413332286
sub-pl063,0,2,0.5644959781996912
sub-pl064,0,2,0.5700738896263859
sub-pl007,0,3,0.6037323333093827
sub-pl010,0,3,0.5785200453493818
sub-pl012,0,3,0.6050693897509971
sub-pl013,0,3,0.5665718257926369
sub-pl014,0,3,0.562788485863871
sub-pl017,0,3,0.5823730848318759
sub-pl019,0,3,0.5957040925084922
sub-pl027,0,3,0.5628392724152671
sub-pl030,0,3,0.5798209877045055
sub-pl031,0,3,0.5812550836450993
sub-pl032,0,3,0.5931088978897247
sub-pl034,0,3,0.5544276413078139
sub-pl035,0,3,0.5861228972381934
sub-pl036,0,3,0.5676948403941171
sub-pl038,0,3,0.5780256899807394
sub-pl042,0,3,0.5871456957563537
sub-pl047,0,3,0.5594943409943018
sub-pl049,0,3,0.591206756573541
sub-pl050,0,3,0.5748993959811818
sub-pl055,0,3,0.6033170559749242
sub-pl056,0,3,0.573974233438325
sub-pl063,0,3,0.5641608825611386
sub-pl064,0,3,0.5668390655355827
