subject,,visit,metric
sub-pl002,0,1,0.5865332391077437
sub-pl006,0,1,0.5776118719396465
sub-pl015,0,1,0.566645948378536
sub-pl021,0,1,0.5564953033913473
sub-pl022,0,1,0.5717117336645158
sub-pl023,0,1,0.5771469224395829
sub-pl024,0,1,0.5678421144878892
sub-pl025,0,1,0.5863452221428894
sub-pl029,0,1,0.5940039084428289
sub-pl040,0,1,0.5654566921251829
sub-pl041,0,1,0.563875017034528
sub-pl046,0,1,0.5833531026962795
sub-pl048,0,1,0.5547997759269678
sub-pl051,0,1,0.5620010861484813
sub-pl052,0,1,0.569709042323672
sub-pl053,0,1,0.5831519448872847
sub-pl054,0,1,0.5562758966449024
sub-pl057,0,1,0.5679603678375618
sub-pl058,0,1,0.5614143747970802
sub-pl059,0,1,0.5731734260394818
sub-pl060,0,1,0.586718147929255
sub-pl061,0,1,0.5776987810133287
sub-pl062,0,1,0.5840515161261512
sub-pl065,0,1,0.5835499461343495
sub-pl002,0,2,0.5776304906269901
sub-pl006,0,2,0.5792147034363624
sub-pl015,0,2,0.5701154871683872
sub-pl021,0,2,0.5609782412974281
sub-pl022,0,2,0.5703059301950042
sub-pl023,0,2,0.5809052531655327
sub-pl024,0,2,0.5689301886613445
sub-pl025,0,2,0.5841587130323935
sub-pl029,0,2,0.5954609935256457
sub-pl040,0,2,0.5658035910600107
sub-pl041,0,2,0.5617931339023351
sub-pl046,0,2,0.5865649365902633
sub-pl048,0,2,0.5560027466755809
sub-pl051,0,2,0.5715388992836645
sub-pl052,0,2,0.5679167145521083
sub-pl053,0,2,0.5727395922352742
sub-pl054,0,2,0.5476892278639378
sub-pl057,0,2,0.5722492929987605
sub-pl058,0,2,0.5476285488089049
sub-pl059,0,2,0.5638323296299492
sub-pl060,0,2,0.5938624074391594
sub-pl061,0,2,0.5908006057152295
sub-pl062,0,2,0.5867863643112537
sub-pl065,0,2,0.5822402983731096
sub-pl002,0,3,0.5823491985576859
sub-pl006,0,3,0.580181238805801
sub-pl015,0,3,0.5751262164985429
sub-pl021,0,3,0.5623113277298595
sub-pl022,0,3,0.5801138004763184
sub-pl023,0,3,0.584086789284175
sub-pl024,0,3,0.5669195762756379
sub-pl025,0,3,0.5917999309090752
sub-pl029,0,3,0.5859133848613792
sub-pl040,0,3,0.5643260881301915
sub-pl041,0,3,0.5498897828217454
sub-pl046,0,3,0.5768785899255273
sub-pl048,0,3,0.5481941706936201
sub-pl051,0,3,0.5629583157337077
sub-pl052,0,3,0.570360308510393
sub-pl053,0,3,0.5851528804420005
sub-pl054,0,3,0.5521871575480556
sub-pl057,0,3,0.5571556865588561
sub-pl058,0,3,0.5518797431037117
sub-pl059,0,3,0.5716556073007323
sub-pl060,0,3,0.5866353287319863
sub-pl061,0,3,0.5948264617515077
sub-pl062,0,3,0.5845190410827737
sub-pl065,0,3,0.5857269002670447
