subject,,visit,metric
sub-pl007,metric,1,2.8601266757609225
sub-pl010,metric,1,2.754701822571753
sub-pl012,metric,1,3.1434905665454735
sub-pl013,metric,1,2.5881129347179046
sub-pl014,metric,1,2.837020457798022
sub-pl017,metric,1,3.091872767590313
sub-pl019,metric,1,3.075806754755898
sub-pl027,metric,1,3.0032312978461806
sub-pl030,metric,1,3.1778997345887885
sub-pl031,metric,1,2.7576522589395527
sub-pl032,metric,1,2.9928408841545893
sub-pl034,metric,1,2.8040431344764802
sub-pl035,metric,1,3.025573060169313
sub-pl036,metric,1,2.595949371002413
sub-pl038,metric,1,2.9952162637889765
sub-pl042,metric,1,3.2093584815158795
sub-pl047,metric,1,3.0453945622666847
sub-pl049,metric,1,2.9154797616627417
sub-pl050,metric,1,2.759103737239863
sub-pl055,metric,1,2.8206704243910226
sub-pl056,metric,1,2.5510407549849785
sub-pl063,metric,1,3.116467930251912
sub-pl064,metric,1,2.8305184884852004
sub-pl007,metric,2,3.0308178946688757
sub-pl010,metric,2,2.665592898565099
sub-pl012,metric,2,2.9278548995215794
sub-pl013,metric,2,2.7587910195233882
sub-pl014,metric,2,2.6902517851291257
sub-pl017,metric,2,3.0109968254564805
sub-pl019,metric,2,3.1074312019071844
sub-pl027,metric,2,2.9277371862447152
sub-pl030,metric,2,3.0554614357634815
sub-pl031,metric,2,2.9143373056250748
sub-pl032,metric,2,2.647836268595263
sub-pl034,metric,2,2.700895062857757
sub-pl035,metric,2,2.8495883901621983
sub-pl036,metric,2,2.7389439487276044
sub-pl038,metric,2,2.884552311305236
sub-pl042,metric,2,3.2697255608398796
sub-pl047,metric,2,2.8127552444784234
sub-pl049,metric,2,2.9523104240950513
sub-pl050,metric,2,2.7894665280795894
sub-pl055,metric,2,2.741746266306668
sub-pl056,metric,2,2.9933568102150656
sub-pl063,metric,2,3.1771821256585033
sub-pl064,metric,2,2.556427539695166
sub-pl007,metric,3,3.0794361269601183
sub-pl010,metric,3,2.8233444229670344
sub-pl012,metric,3,2.7819542598146376
sub-pl013,metric,3,2.554726465985169
sub-pl014,metric,3,2.619980043032549
sub-pl017,metric,3,3.1857574751079443
sub-pl019,metric,3,2.9648162272330456
sub-pl027,metric,3,2.972641101330565
sub-pl030,metric,3,2.7773714913073904
sub-pl031,metric,3,2.847880390860754
sub-pl032,metric,3,2.8699162341000126
sub-pl034,metric,3,2.780493561781323
sub-pl035,metric,3,2.9537908903272445
sub-pl036,metric,3,2.3264247439357093
sub-pl038,metric,3,2.772612753810462
sub-pl042,metric,3,3.3262482708941286
sub-pl047,metric,3,3.0378534997041515
sub-pl049,metric,3,2.7248736885623646
sub-pl050,metric,3,2.849109630876028
sub-pl055,metric,3,2.94537745711872
sub-pl056,metric,3,3.1132731656054977
sub-pl063,metric,3,3.0738367950896377
sub-pl064,metric,3,2.570685355086431
