subject,,visit,metric
sub-pl002,metric,1,2.83525051472107
sub-pl006,metric,1,3.0685617516499097
sub-pl015,metric,1,2.6804651528105565
sub-pl021,metric,1,2.4592262308610957
sub-pl022,metric,1,3.0507008634159507
sub-pl023,metric,1,2.7860940520473867
sub-pl024,metric,1,3.0239629368947956
sub-pl025,metric,1,3.2331055176345247
sub-pl029,metric,1,2.6452707465503247
sub-pl040,metric,1,3.0382242458159356
sub-pl041,metric,1,2.7649972563581615
sub-pl046,metric,1,3.0999655023996016
sub-pl048,metric,1,3.051138429149819
sub-pl051,metric,1,2.789343614052618
sub-pl052,metric,1,2.858184090930061
sub-pl053,metric,1,2.8740407133004213
sub-pl054,metric,1,3.1494044756174686
sub-pl057,metric,1,2.9391509022101023
sub-pl058,metric,1,2.826097052053995
sub-pl059,metric,1,2.640596583539187
sub-pl060,metric,1,2.91926159786132
sub-pl061,metric,1,3.1968103963883077
sub-pl062,metric,1,2.799878160255074
sub-pl065,metric,1,2.814828110639015
sub-pl002,metric,2,2.599926893504597
sub-pl006,metric,2,3.0828563233360975
sub-pl015,metric,2,2.7007813427768057
sub-pl021,metric,2,2.7711877206434266
sub-pl022,metric,2,2.536828513665708
sub-pl023,metric,2,2.7463047477064695
sub-pl024,metric,2,3.223387241971422
sub-pl025,metric,2,3.3011085642616296
sub-pl029,metric,2,2.862204847623041
sub-pl040,metric,2,2.7952030510520114
sub-pl041,metric,2,2.6285304944546333
sub-pl046,metric,2,3.056834303882697
sub-pl048,metric,2,2.8306273331687546
sub-pl051,metric,2,2.8999713516110144
sub-pl052,metric,2,2.9394988771674897
sub-pl053,metric,2,2.975366608375371
sub-pl054,metric,2,2.9478416948280124
sub-pl057,metric,2,2.842559685637678
sub-pl058,metric,2,2.821878899595718
sub-pl059,metric,2,2.9303051900886867
sub-pl060,metric,2,2.9359364132999253
sub-pl061,metric,2,3.1187700839184758
sub-pl062,metric,2,2.615003442042894
sub-pl065,metric,2,2.6821358174043777
sub-pl002,metric,3,2.725722781135586
sub-pl006,metric,3,3.072146913177375
sub-pl015,metric,3,2.7779079174631938
sub-pl021,metric,3,2.8662838122483327
sub-pl022,metric,3,3.0339482715276747
sub-pl023,metric,3,2.7960209062945847
sub-pl024,metric,3,3.0284615762316114
sub-pl025,metric,3,3.374728518117924
sub-pl029,metric,3,2.8270999324993205
sub-pl040,metric,3,2.6266582263544747
sub-pl041,metric,3,2.6002245819303766
sub-pl046,metric,3,2.6393881093387175
sub-pl048,metric,3,2.8768906568902017
sub-pl051,metric,3,3.141690870491039
sub-pl052,metric,3,2.9369343403505455
sub-pl053,metric,3,2.767661687703632
sub-pl054,metric,3,3.1101354720724514
sub-pl057,metric,3,2.800925485581052
sub-pl058,metric,3,3.0649599272554493
sub-pl059,metric,3,2.7366222115299066
sub-pl060,metric,3,2.985234172903112
sub-pl061,metric,3,2.9637693511351015
sub-pl062,metric,3,2.739865708138485
sub-pl065,metric,3,3.1326857260749277
