	p_value
0	0.49658530379140764
1	0.4764562810070109
2	0.5187931656538876
3	0.06625225915225956
4	0.9682566771439531
5	0.4847422701532458
6	0.03877420783172282
7	0.17953388682197643
8	0.34603183835322815
9	0.33591098123915664
10	0.041794104084920645
11	0.8464817248906016
12	0.3031436822281362
13	0.409484125152366
14	0.7037364516598879
15	0.7165313105737681
16	0.9764716866522749
17	0.17377394345044347
18	0.4432774876685801
19	0.8464817248906835
20	0.33645673413503113
21	0.6065306597126299
22	0.6065306597126319
23	0.8529188173702428
24	0.7490954336047413
25	0.1676772487517985
26	0.06625225915225956
27	0.9428731438549023
28	0.0672055127397513
29	0.5352614285189917
30	0.9131007162823032
31	0.042143843509274796
32	0.3678794411714477
33	0.7788007830713877
34	1.0
35	0.7037364516598879
36	0.2105273859317359
37	0.920044414629361
38	0.15019312194656995
39	0.50734124812848
40	0.441233167759987
41	0.8464817248906835
42	0.5665546020894671
43	0.5134171190326116
44	0.8187307530779674
45	0.6065306597126507
46	0.5718814699676181
47	0.2358770829857079
48	0.8588389044645086
49	0.2499826817889295
50	0.3368103407595106
51	0.1690133154060668
52	0.8276299132500504
53	0.4233105862931854
54	0.5697828247309258
55	0.6642538428642977
56	0.7165313105738028
57	0.5069994891328996
58	0.9017226623630574
59	0.5807248229785994
60	0.7788007830713796
61	0.5580351457700453
62	0.009574531748629177
63	0.30266704131662037
64	0.8668778997502427
65	0.7097395956891395
66	0.40526025778329056
67	0.5737534207374344
68	0.8668778997502427
69	0.9607894391523757
70	0.23664918404207216
71	0.5647181220077776
72	0.1684274812781807
73	0.691825825270484
74	0.9048374180359647
75	0.367879441171463
76	0.7165313105737681
77	0.4388799297915753
78	0.41241948270016326
79	0.15611804531597784
80	0.7165313105737681
81	0.8789456120040188
82	0.8139288269829805
83	0.49658530379140764
84	0.0135685590122013
85	0.5836454781435723
86	0.5413786357843822
87	0.3678794411714405
88	0.5836454781435331
89	0.2635971381157467
90	0.7639669352423135
91	0.13533528323662788
92	0.2490145619653069
93	0.5488116360939972
94	0.5214390995757077
95	0.2659826163711089
96	0.19881418873807247
97	0.3146639610184669
98	0.31280910516147653
99	0.3678794411714454
100	0.24659696394160444
101	0.9710165517924761
102	0.013036528203437876
103	0.5647181220077776
104	0.21530184919758913
105	0.2358770829857079
106	0.2635971381157467
107	0.8890097654027816
108	0.7788007830715009
109	0.8187307530780625
110	0.3678794411714405
111	
112	0.7376042638217974
113	0.26826245346996264
114	0.13533528323662788
115	
116	
117	0.24659696394160444
118	0.7165313105739068
119	1.0
120	0.28006676082166915
121	0.5488116360939972
122	1.0
123	0.5488116360939972
124	0.979382181331268
125	0.13533528323661337
126	0.22313016014842804
127	0.8497690284366168
128	0.636111795258494
129	0.2813114999364491
130	0.17377394345045427
131	0.20189651799465624
132	0.13937484689297167
133	0.49658530379140764
134	0.26359713811572116
135	0.6327833853483124
136	0.3411368037570259
137	0.5748929504937894
138	0.2185297029669592
139	0.5580351457700453
140	0.9495907867934785
141	0.2973736180754742
142	0.13812560360417903
143	0.10464905532319745
144	0.09697196786440818
145	0.20528965757990536
146	0.06257255150290839
147	0.08872423326203432
148	0.7613003866968553
149	0.8824969025846497
150	0.21203150472381244
151	0.36787944117145205
152	0.5580351457700453
153	0.8464817248906835
154	0.8668778997502427
155	0.281769289094954
156	0.09697196786440376
157	0.0394564345102254
158	0.1250617869228147
159	0.19691167520420153
160	0.10348871739172372
161	0.7788007830715009
162	0.8824969025846497
163	0.3678794411714405
164	0.19881418873807247
165	0.3678794411714366
166	0.19881418873807247
167	0.8187307530779606
168	1.0
169	0.3678794411714534
170	0.7408182206816982
171	0.6428393277086264
172	0.8212155182543394
173	0.10860910882495747
174	0.6246347280002912
175	0.3678794411714454
176	0.8322075006902876
177	0.7669711269557012
178	0.10860910882495747
179	0.1538472777128319
180	0.08695994294221512
181	0.7818019384516195
182	0.8150176948166655
183	0.3678794411714405
184	0.4723665527410178
185	0.4594258240359248
186	0.920044414629361
187	0.005840977343195507
188	0.6065306597127826
189	0.42162610548699897
190	0.8464817248906835
191	0.778800783071416
192	0.8668778997502427
193	0.367879441171624
194	0.16529888822158892
195	0.7470175003104043
196	0.691825825270484
197	0.9259610786424132
198	0.24526760348268223
199	0.7557837414556979
200	0.254508497988492
201	1.0
202	0.7274705090242535
203	0.7788007830715009
204	1.0
205	0.4594258240359248
206	0.9259610786423511
207	0.8187307530779606
208	0.5896053366792325
209	0.2105273859317359
210	0.1931925736494122
211	0.2973736180754742
212	0.2707791830612101
213	0.5176082560082033
214	0.6145640617150667
215	0.7613003866968553
216	0.6951439283988932
217	0.449328964117242
218	0.33937650241767675
219	0.9131007162822671
220	0.826565437624247
221	0.7548396019889887
222	0.14227407158651997
223	0.06625225915225956
224	0.7788007830715009
