roi,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224
0,,0.03728384425313947,-0.00590966469470546,-0.02676322007985285,-0.5160687209926603,,-0.09594987632014237,,0.12620813793412064,,-0.24992319728098236,,-0.15907982528272682,,,,-0.06164941441230822,,,,,,-1.1260305996543234,-0.09235584052332212,,0.1261930588961319,,,,,,,,,,,,,-0.017214439437142372,,,,,,,,,,,,,,,,,,,,,,0.12811268683120258,,-0.10895816686183772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03873969310304872,,,,-0.0044172022125772495,-0.23089831718703843,,,,,0.21994263090698882,,-0.01250692499835385,,,,,,,,,,,,,,,,,,,,,,,,,,-0.013250668965648195,0.09854886504750845,0.06923464072801218,,-0.20581953695037286,,,,,,,,,,
1,0.03728384425313947,,0.18416412028683837,0.27800933912889925,,-0.17578272526570124,,0.20627935207926934,,-0.3956905817860964,,-0.03671314707102065,,-0.17055334503377073,,0.05001474731137323,-1.135631040640778,-0.5377731913422918,,-0.1441726689443087,,,-0.516673059090437,0.15588822453700185,0.1813919654350985,0.135632698320936,,-0.09371595879233618,,0.1664881272839818,,,,-0.020530366929822623,,,,0.18364451802383594,,0.3679349530983401,,,,,,,,0.05090653549326567,,,,,,,,-0.08678141878912615,,,,,,0.35973481475188235,,-0.07367951590480136,,-0.19341181767960758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056157982560704756,,,,,,,,,,,,,,,,,,,,0.15459717910985252,,,,-0.010433035444835505,,,0.2622987731302379,-0.12826320282514797,,,,,,0.6572192287846736,,-0.11601739147166917,,,,,,,,,,,,,,,,,,,,,,,,0.09631131000515161,,,,,-0.040708707617055584,,,,0.01940806632665398,0.3481452102977545,0.0427150659048789,,,,
2,-0.00590966469470546,0.18416412028683837,,,0.09722947567284353,,0.06454180138381484,,0.1914505618030838,,0.11442681356230228,,-0.12088056922755827,,0.12342277556609989,,0.1566259235951887,,-0.07909028336644511,,-0.19414953114836433,,0.008291502392284478,-0.5111954327085303,-0.28938279355778784,,,,0.0952464088410233,,,,0.23594774333656546,,,,,,-0.011717180596963597,,,,,,,,,,,,,,,,-0.033208462659745794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1980338445324912,,0.046866184420555033,,,,,,,,,,,,-0.7303197220109132,,-0.04804711002363491,,,,,,,,,,,,,,,,,,,,,,-0.16765907171926778,,,,-0.24714688016164932,0.12356934332093086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.182196225498166,,0.0045739177894232345,0.2038469606101033,0.026444020907421383,,-0.17650344990141076,,,,,,,,,,
3,-0.02676322007985285,0.27800933912889925,,,,-0.10215676484727214,,0.4276213982998416,,,,0.17259200560532956,,,,-0.025958812118756516,,0.010650308290015663,,0.15845517561883296,,,0.46660409188160873,0.1130096874521897,,0.018527229263254986,,,,0.28114799492457104,,,,0.03231023122330863,,,,,,0.3076170726193285,,,,,,,,,,,,,,,,-0.33184250037211677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15617080583827428,,,,0.08023084661404424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18575214888823843,,,,-0.0655359950633592,-0.5343758002604388,0.06479985718039574,,,,
4,-0.5160687209926603,,0.09722947567284353,,,0.02602754664342084,,,0.41910166929462334,,-0.018579501410133904,0.027757960746395808,-0.4156450020607153,,-0.015188059786048171,0.25713682524966325,,,-0.2758409978020459,0.16159542019151804,-0.13038754412439185,,0.05778606433168356,,,,-0.300117671525883,,,,-0.030915593811047467,,-0.031241446141887837,,0.10156562427883352,,-0.32301425945502243,,,,-0.0298153250145274,,,,,,0.24872986637840602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08064586802466792,,,,,,-0.4664426463885349,,,,0.022602171381122353,-0.0704700915313857,0.0875407297715102,,,,-1.2270717531294486,,-0.27716343458027765,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02313843235820199,-0.09631472950620809,-0.07661847747163568,,-0.1169303455900499,,,,,,,,,,
5,,-0.17578272526570124,,-0.10215676484727214,0.02602754664342084,,,-0.40944268675365963,,,-0.2167114372391479,-0.03758704987576565,,0.0730664670431831,0.16325114000096358,-0.04540930625663905,,,,0.1232212560023263,-0.007278024494985541,0.19058348417168738,-0.03367184383007126,-0.1491141576913875,,,,0.038931489589819,,,,0.2860356561487305,,0.08665449364547773,,0.14033151781156974,,-0.012235707888240301,,,,-0.05960234261214594,,,,,,0.18025416572326503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5734568067610802,,,,,,-0.2291814706125629,,,0.3204062506164487,0.20728280389592185,,0.39551635183776257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1430465622785411,,,,-0.0025064729407382855,-0.07696268015216372,-0.12557826994888113,,,,
6,-0.09594987632014237,,0.06454180138381484,,,,,,0.07278150505188918,-0.06815294955865277,,,,,,,,,,,,,-0.19717042373837793,,0.0006359361688031055,-0.1928413515343476,,,,,,,,,,,,,,,,,,,,,,,-0.5170329646007893,,,,0.0026086965093869573,,-0.24871549556556546,,,,0.13898913393337362,,-0.22389308932911944,,-0.17284866627784143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04453491361738968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04448244037031581,,,,,,,,-0.19815512842887875,,-0.30532726378806485,,-0.32773362628146546,,,,,-0.10285689973283407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08491222778513856,-0.037801757429043466,-0.2581830284585322,0.21874733148124442,-0.04245484590033429,,,,,,,,,,
7,,0.20627935207926934,,0.4276213982998416,,-0.40944268675365963,,,,-0.10598585721697988,,,,,,0.28233326992353086,,0.2961669727553941,,,,,,,-0.008146123304519687,0.25485424436454823,,,,,,,,,,,,,,0.014266746975442935,,,,,,,,,,,,,,,,0.07803845651223909,,0.18488373997644542,,-0.2205648311706268,,0.2822896065470692,,0.12870450118099191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016697996895275055,,-1.2363365330926848,,0.16119189224358782,,,,-0.007139717319133499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10625336017087367,,,,-0.06869216208132868,0.2663557221226691,-0.09661565271127329,,,,
8,0.12620813793412064,,0.1914505618030838,,0.41910166929462334,,0.07278150505188918,,,-0.388481841958804,0.4131406761283506,,0.18574758903165192,,,,,,,,,,,,,0.20944386439602722,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2391689454535964,-2.0267965457798964,-0.1779166333524243,-0.16568781431608098,-0.4898966144463056,,-0.21706413029298605,,-0.2897676768257689,,-0.10518507930091386,-0.2921417590149802,-0.1271021251999798,,0.23045074068545582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09488519876470587,,,,,,0.15349223637571008,,,,,,,,,,,,,,,,-0.18214670276635186,,-0.2300099851898638,,,,0.06544882618007793,,,,,,,,-0.6777258716469694,,,,,,,,,,-0.15094640941683157,,0.06505846764409062,,,,-0.030058652424676993,-0.1760228158404861,,,,,-0.2205860463893439,,-0.5436200796167963,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17453495876384126,-0.2536874245315031,-0.1298379049583995,,-0.02315198571630736,,,,,,,,,,
9,,-0.3956905817860964,,,,,-0.06815294955865277,-0.10598585721697988,-0.388481841958804,,,-0.47400475554336513,,,,,,,,,,,,,-0.7254308242317417,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13587301369280463,-0.08963235769632612,-0.15928634358572774,-0.24144575748768193,,-0.403813019490514,,0.021370727289425635,,0.17399863815982386,-0.2385108737632312,0.1432129825787632,,-0.12761300952050905,,-0.21413930504442183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2905092332722323,,,,,,-0.3541905461224651,,,,,,-0.41875062673726865,,,,,,,,,,,,-0.4789589237159168,,,,,,,,,,,,-0.5341316352737564,,,,,,,,,,,,-0.05123425532271165,,,,-0.30982887421296895,,,,,,,,-0.3816767976405049,,,,,,,,,,,,,,,,,,,,,,,,-0.2744953701037577,,,,,0.10054860826137921,,,,-0.0522851804777629,-0.03238919287133742,-0.08427258170409596,,,,
